Data set,Field-Weighted Citation Impact vs Publication Year,,,,,,,
Entities,"Durham University, Lancaster University, Loughborough University, Newcastle University, University of Bath, University of East Anglia, University of Exeter, University of Liverpool, University of Southampton, University of York",,,,,,,
Year range,2017 to 2022,,,,,,,
Subject classification,ASJC,,,,,,,
Filtered by,All subject areas,,,,,,,
,,,,,,,,
Data source,Scopus,,,,,,,
Date last updated,10-May-23,,,,,,,
Date exported,23-May-23,,,,,,,
Metric name,Self-citations,Types of publications included,Other options,,,,,
Field-Weighted Citation Impact,included,All publication types,-,,,,,
,,,,,,,,
Entity,Tags,Field-Weighted Citation Impact,,,,,,
,,Overall,2017,2018,2019,2020,2021,2022
Durham University,,1.61,1.58,1.63,1.64,1.6,1.58,1.62
Lancaster University,,2.06,2.36,2.26,1.75,2.09,2.36,1.56
Loughborough University,,1.56,1.53,1.45,1.56,1.59,1.54,1.68
Newcastle University,,1.94,1.98,1.97,1.98,1.9,2.02,1.77
University of Bath,,1.65,1.9,1.75,1.54,1.8,1.48,1.45
University of East Anglia,,2.05,2.55,2.01,1.88,2.15,1.94,1.77
University of Exeter,,1.93,1.87,2.06,1.95,2.11,1.98,1.62
University of Liverpool,,1.94,1.85,2.12,1.74,2.01,1.97,1.97
University of Southampton,,1.94,2.01,1.96,1.81,1.93,2.19,1.74
University of York,,1.79,1.66,1.57,2,1.77,2.27,1.46
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"© 2023 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license.",,,,,,,,
