Data set,Field-Weighted Citation Impact vs Publication Year,,,,,,,
Entities,"Faculty_ArtsHumanities_My Publication Set - 24 May 2023, PURE_Faculty_Sciences_Publication Set - 24 May 2023, PURE_Faculty_SocialSciences_Publication Set - 24 May 2023",,,,,,,
Year range,2017 to 2022,,,,,,,
Subject classification,ASJC,,,,,,,
Filtered by,All subject areas,,,,,,,
,,,,,,,,
Data source,Scopus,,,,,,,
Date last updated,17-May-23,,,,,,,
Date exported,24-May-23,,,,,,,
Metric name,Self-citations,Types of publications included,Other options,,,,,
Field-Weighted Citation Impact,included,All publication types,-,,,,,
,,,,,,,,
Entity,Tags,Field-Weighted Citation Impact,,,,,,
,,Overall,2017,2018,2019,2020,2021,2022
Faculty of Arts & Humanities,,2.12,2.72,1.98,2.09,1.91,2.09,1.79
Faculty of Sciences,,1.61,1.64,1.74,1.71,1.55,1.55,1.41
Faculty of Social Sciences,,2.79,1.88,2,3.18,1.76,6.14,1.69
University of York,,,1.8,1.82,2.12,1.63,2.85,1.55
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"© 2023 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license.",,,,,,,,
